location_id,name,city,country,latitude,longitude,rating,num_reviews,price_level,category
2210840,Villa Val Senart,Quincy-sous-Senart,France,48.680866,2.534966,2.7,49,$,hotel
25600630,Domitys La Serpentine,Quincy-sous-Senart,France,48.67925,2.53809,,0,$,hotel
21336299,The Village Cafe,Mytishchinsky District,Russia,55.957817,37.573486,,0,$,restaurant
26712622,Pizza 44,Gribki,Russia,55.957554,37.57362,,0,,restaurant
7907276,Moswake,Moscow,Russia,55.981735,37.566128,3.3,10,,attraction
12388548,Argo Restaurant,Troitskoye,Russia,55.98481,37.564102,4.0,1,$$ - $$$,restaurant
15207848,Argo,Troitskoye,Russia,55.98482,37.564636,1.0,2,$$ - $$$,restaurant
24004310,Sunset Beach Moscow,Iksha,Russia,56.127396,37.5701,,0,,attraction
21375612,Sanatoriy Marfinskiy Minoborony Rossii,Marfino,Russia,56.080772,37.56344,,0,,hotel
15334115,Guest House on Geologov,Mytishchi,Russia,56.00912,37.563023,,0,,hotel
7055608,Health Resort Marfinskiy,Marfino,Russia,56.079815,37.562893,3.9,31,,attraction
3769600,Mayak,Novoaleksandrovo,Russia,55.98244,37.56076,5.0,1,,restaurant
15516257,Mahara Beach Camp,Charneca,Portugal,38.62997,-9.20667,3.7,3,,hotel
24001809,Villa Paraiso Da Caparica,Charneca da Caparica,Portugal,38.62964,-9.206605,4.8,8,$,hotel
26100951,Mata Beach,Charneca da Caparica,Portugal,38.63062,-9.20483,,0,$,hotel
32902380,Primeiro Pecado,Almada,Portugal,38.63581,-9.202872,,0,,restaurant
29011039,Autocaravanas da Paty,Costa da Caparica,Portugal,38.641117,-9.20727,,0,,attraction
15064920,Praia da Morena,Costa da Caparica,Portugal,38.63619,-9.2063,4.8,12,,attraction
12936842,Pousada HL,Costa da Caparica,Portugal,38.63998,-9.20879,5.0,1,,hotel
16665007,Pousada HL,Caparica,Portugal,38.64135,-9.20959,,0,,hotel
32902379,Primeiro Pecado,Charneca da Caparica,Portugal,38.63764,-9.202668,,0,,restaurant
12624356,Primeiro Pecado,Charneca da Caparica,Portugal,38.63502,-9.202584,4.5,15,$$ - $$$,restaurant
3327527,Terre d'Armor,Orsay,France,48.696667,2.189722,4.3,237,$$ - $$$,restaurant
20877499,Sixt,Villebon-sur-Yvette,France,48.68871,2.2057,,0,,
10729178,Trattoria Belinda,Orsay,France,48.696613,2.189386,4.5,141,$,restaurant
27362237,Dolce Pizza,Orsay,France,48.696644,2.185175,5.0,2,,restaurant
